"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4254,0.683,0.2894,0.8062,0.7707,0.4435
4255,0.6854,0.3274,0.8081,0.7711,0.4677
4256,0.6835,0.3519,0.8164,0.7655,0.4996
4257,0.6768,0.3801,0.8214,0.7567,0.4924
4258,0.6702,0.3979,0.8077,0.7574,0.4924
4259,0.6676,0.3983,0.7825,0.7635,0.478
4260,0.6669,0.4047,0.747,0.7618,0.4885
4261,0.666,0.4267,0.7773,0.7692,0.5115
4262,0.6635,0.4513,0.8259,0.7796,0.5611
4263,0.6559,0.4831,0.8502,0.7855,0.6011
4264,0.6511,0.5052,0.8472,0.7899,0.626
4265,0.652,0.5199,0.8593,0.787,0.6107
4266,0.6565,0.5181,0.8419,0.7693,0.5715
4267,0.6606,0.5052,0.8229,0.7714,0.5286
4268,0.6597,0.4709,0.7971,0.7692,0.4943
4269,0.6551,0.4267,0.7713,0.7718,0.4294
4270,0.652,0.3863,0.7348,0.7722,0.3855
4271,0.6484,0.3617,0.7045,0.77,0.3435
4272,0.6478,0.3433,0.6923,0.7737,0.374
4273,0.6462,0.3126,0.7017,0.7851,0.3873
4274,0.6549,0.3041,0.7197,0.7899,0.4575
4275,0.6568,0.3286,0.7439,0.7926,0.4905
4276,0.6545,0.3728,0.7773,0.7938,0.5191
4277,0.6511,0.4243,0.7956,0.7952,0.542
4278,0.6497,0.466,0.8047,0.7929,0.5611
4279,0.6488,0.4807,0.7986,0.8018,0.5649
4280,0.6505,0.493,0.7889,0.8179,0.546
4281,0.6533,0.4767,0.7956,0.8373,0.5439
4282,0.6549,0.4758,0.8016,0.8462,0.5401
4283,0.6564,0.4684,0.7895,0.8434,0.5477
4284,0.6592,0.4654,0.7758,0.8303,0.5487
4285,0.6616,0.469,0.75,0.8254,0.5496
4286,0.668,0.4562,0.7333,0.8155,0.5191
4287,0.6743,0.4186,0.7359,0.8013,0.4585
4288,0.6678,0.3581,0.7197,0.7855,0.4198
4289,0.6635,0.3483,0.7197,0.7759,0.4122
4290,0.6625,0.3532,0.7242,0.7722,0.458
4291,0.663,0.3728,0.7303,0.7685,0.4885
4292,0.6647,0.3924,0.7303,0.7657,0.5057
4293,0.6669,0.4243,0.7339,0.7635,0.5115
4294,0.6722,0.4538,0.7329,0.7638,0.5144
4295,0.6673,0.466,0.7197,0.76,0.4962
4296,0.6675,0.4611,0.6893,0.7562,0.4771
4297,0.6654,0.4482,0.6559,0.7489,0.4504
4298,0.6644,0.4283,0.6164,0.7393,0.4351
4299,0.6663,0.4077,0.5769,0.7263,0.416
4300,0.6663,0.4022,0.5739,0.7204,0.4198
4301,0.6636,0.394,0.5722,0.7207,0.424
4302,0.6593,0.416,0.5724,0.7267,0.4504
4303,0.6545,0.4132,0.5686,0.7282,0.4427
4304,0.6502,0.4218,0.5724,0.7278,0.4237
4305,0.6454,0.412,0.5743,0.7223,0.3969
4306,0.6407,0.4022,0.5682,0.7158,0.3664
4307,0.6416,0.3924,0.56,0.7145,0.3893
4308,0.6428,0.3848,0.5509,0.7089,0.3985
4309,0.6511,0.4022,0.5466,0.7126,0.4676
4310,0.6535,0.4414,0.5526,0.7036,0.4828
4311,0.6559,0.4954,0.58,0.7041,0.5191
4312,0.6559,0.5395,0.6255,0.6923,0.5553
4313,0.6523,0.5616,0.6735,0.6967,0.5868
4314,0.6478,0.5792,0.7305,0.6938,0.626
4315,0.6435,0.5928,0.7872,0.709,0.6812
4316,0.6402,0.6094,0.8259,0.6923,0.6985
4317,0.6397,0.6205,0.8684,0.689,0.7137
4318,0.6402,0.626,0.8927,0.6801,0.7176
4319,0.6445,0.6263,0.8927,0.6686,0.7099
4320,0.6526,0.6337,0.8988,0.6564,0.7023
4321,0.6545,0.6131,0.8684,0.6416,0.6555
4322,0.6468,0.6152,0.8197,0.6237,0.6039
4323,0.6383,0.5739,0.7531,0.6183,0.5649
4324,0.6378,0.5641,0.7348,0.6006,0.5802
4325,0.6402,0.5199,0.7288,0.578,0.5649
